BAG:traidatol add 6xĐá Saphia (old: 5) lydo: Nhặt từ map at 03/12/2023 7:44 AM
BAG:traidatol add 4xHoa hồng xanh (old: 3) lydo: Nhặt từ map at 03/12/2023 7:45 AM
BAG:traidatol add 4xHoa hồng vàng (old: 3) lydo: Nhặt từ map at 03/12/2023 7:45 AM
BAG:traidatol add 5xHoa hồng vàng (old: 4) lydo: Nhặt từ map at 03/12/2023 7:46 AM
BAG:traidatol add 6xHoa hồng vàng (old: 5) lydo: Nhặt từ map at 03/12/2023 7:46 AM
BAG:traidatol add 8xHoa hồng đỏ (old: 7) lydo: Nhặt từ map at 03/12/2023 7:47 AM
BAG:traidatol add 5xHoa hồng xanh (old: 4) lydo: Nhặt từ map at 03/12/2023 7:48 AM
BAG:traidatol add 7xHoa hồng vàng (old: 6) lydo: Nhặt từ map at 03/12/2023 7:48 AM
BAG:traidatol add 3xĐá lục bảo (old: 2) lydo: Nhặt từ map at 03/12/2023 7:49 AM
BAG:traidatol add 9xHoa hồng đỏ (old: 8) lydo: Nhặt từ map at 03/12/2023 7:49 AM
BAG:traidatol add 6xHoa hồng xanh (old: 5) lydo: Nhặt từ map at 03/12/2023 7:50 AM
BAG:traidatol add 8xHoa hồng vàng (old: 7) lydo: Nhặt từ map at 03/12/2023 7:50 AM
